day,price,rate,total_base,a_supply,x_supply,treasury_ata,a_nav,x_nav,cr,leverage
0,100.00,1.000000,39.500549,899.543595,280.695736,39.853247,1.00,10.86,439.11%,1.2948
1,98.08,1.000136,39.500549,899.543595,280.695736,39.853247,1.00,10.59,430.71%,1.3023
2,97.53,1.000273,39.500549,899.543595,280.695736,39.853247,1.00,10.52,428.28%,1.3046
3,93.98,1.000411,39.500549,899.543595,280.695736,39.853247,1.00,10.02,412.71%,1.3197
4,91.84,1.000548,39.500549,899.543595,280.695736,39.853247,1.00,9.72,403.32%,1.3296
5,90.86,1.000685,39.500549,899.543595,280.695736,39.853247,1.00,9.58,398.99%,1.3344
6,93.10,1.000822,39.500549,899.543595,280.695736,39.853247,1.00,9.89,408.83%,1.3237
7,92.58,1.000959,39.500549,899.543595,280.695736,39.853247,1.00,9.82,406.56%,1.3261
8,89.29,1.001096,39.500549,899.543595,280.695736,39.853247,1.00,9.36,392.09%,1.3423
9,88.09,1.001233,39.500549,899.543595,280.695736,39.853247,1.00,9.19,386.83%,1.3486
10,82.48,1.001370,39.600686,907.803361,280.695736,39.953247,1.00,8.40,359.81%,1.3848
11,83.40,1.001507,39.600686,907.803361,280.695736,39.953247,1.00,8.53,363.83%,1.3790
12,85.07,1.001645,39.600686,907.803361,280.695736,39.953247,1.00,8.76,371.13%,1.3688
13,87.66,1.001782,39.600686,907.803361,280.695736,39.953247,1.00,9.13,382.39%,1.3541
14,88.31,1.001919,39.600686,907.803361,280.695736,39.953247,1.00,9.22,385.26%,1.3505
15,90.28,1.002056,39.600686,907.803361,280.695736,39.953247,1.00,9.50,393.83%,1.3403
16,92.14,1.002194,39.600686,907.803361,280.695736,39.953247,1.00,9.76,401.95%,1.3311
17,92.92,1.002331,39.600686,907.803361,280.695736,39.953247,1.00,9.87,405.38%,1.3274
18,90.27,1.002468,39.600686,907.803361,280.695736,39.953247,1.00,9.50,393.82%,1.3403
19,94.75,1.002605,39.600686,907.803361,280.695736,39.953247,1.00,10.13,413.35%,1.3191
20,93.07,1.002743,39.700961,917.135902,280.695736,40.053247,1.00,9.89,402.88%,1.3301
21,91.16,1.002880,39.700961,917.135902,280.695736,40.053247,1.00,9.62,394.65%,1.3393
